gene_id,gene_name,log2FC_RA_vs_OA,p_value
AGAP3,AGAP3,-0.49448774147172536,0.0029296875
AGAP4,AGAP4,-0.13686512106097337,0.7646484375
AGAP5,AGAP5,0.09377989986498196,0.921875
AGAP6,AGAP6,0.31719576187343806,0.0244140625
AGAP7P,AGAP7P,0.19158832680633686,0.9658203125
AGAP9,AGAP9,-0.28003701376461426,0.734375
AGBL2,AGBL2,-0.775413664277788,0.0185546875
AGBL3,AGBL3,-0.3279858243287104,0.0673828125
AGBL5,AGBL5,-0.24571869166151028,0.0185546875
AGBL5-AS1,AGBL5-AS1,-2.368966473826815,0.125
AGER,AGER,0.05944629061974371,0.51953125
AGFG1,AGFG1,0.1446285049109659,0.0185546875
AGFG2,AGFG2,-0.3780128729984495,0.0048828125
AGGF1,AGGF1,-0.10472845184309837,0.1015625
AGK,AGK,0.07443323683254027,0.365234375
AGL,AGL,-0.22826688542226573,0.1015625
AGMAT,AGMAT,0.33469651360583813,0.2060546875
AGMO,AGMO,0.5154711328872517,0.240234375
AGO1,AGO1,0.07829656358301297,0.4130859375
AGO2,AGO2,0.006653044627254462,0.6376953125
AGO3,AGO3,-0.008497831475392275,0.9658203125
AGO4,AGO4,-0.18798574147204125,0.0185546875
AGPAT1,AGPAT1,0.056874197633971814,0.240234375
AGPAT2,AGPAT2,-0.2110515258513937,0.0322265625
AGPAT3,AGPAT3,0.03439059835626319,0.7001953125
AGPAT4,AGPAT4,-1.0894147160452332,0.0009765625
AGPAT4-IT1,AGPAT4-IT1,-0.9235099873527325,0.0009765625
AGPAT5,AGPAT5,0.11553981684593088,0.2060546875
AGPS,AGPS,0.18142161467094245,0.0048828125
AGR2,AGR2,-0.0042466779267795575,1.0
AGRN,AGRN,-0.3727927200151102,0.2060546875
AGT,AGT,-0.4685034882726597,0.8310546875
AGTPBP1,AGTPBP1,0.1467588035889561,0.0419921875
AGTR1,AGTR1,-1.8888635508758211,0.001953125
AGTRAP,AGTRAP,-0.17701959582474208,0.0673828125
AHCTF1,AHCTF1,0.16052421931785818,0.240234375
AHCTF1P1,AHCTF1P1,0.028358441210801437,0.7001953125
AHCY,AHCY,0.11394664328162728,0.0537109375
AHCYL1,AHCYL1,-0.07835231070737564,0.365234375
AHCYL2,AHCYL2,-0.42135850987338413,0.0673828125
AHDC1,AHDC1,-0.360602236503588,0.0419921875
AHI1,AHI1,-0.11611867738282015,0.0830078125
AHNAK,AHNAK,-0.050104809239520855,0.8310546875
AHNAK2,AHNAK2,-0.3592021419006196,0.0673828125
AHR,AHR,0.08345971296463195,0.9658203125
AHRR,AHRR,0.3549726784421931,0.123046875
AHSA1,AHSA1,0.18601590909175642,0.013671875
AHSA2P,AHSA2P,-0.26962300750031587,0.0830078125
AHSG,AHSG,1.3171939335889886,0.1875
AHSP,AHSP,0.03730257013145662,1.0
AICDA,AICDA,0.43377936373447357,0.625
AIDA,AIDA,-0.000677179742634705,0.5771484375
AIF1,AIF1,1.0950803439339805,0.75
AIF1L,AIF1L,-0.221562556102681,0.365234375
AIFM1,AIFM1,-0.25452295035047917,0.0009765625
AIFM2,AIFM2,0.007125317190625312,0.8310546875
AIFM3,AIFM3,-0.2155132039346946,0.4130859375
AIG1,AIG1,0.1560696756855431,0.4130859375
AIM2,AIM2,0.9728218167538835,0.4130859375
AIMP1,AIMP1,0.24349574466744475,0.001953125
AIMP2,AIMP2,0.3138512343107379,0.0185546875
AIP,AIP,-0.3388104357421434,0.013671875
AIPL1,AIPL1,0.14014255519670366,0.921875
AJAP1,AJAP1,0.9935225864092047,0.1015625
AJM1,AJM1,0.6253393018072216,0.9658203125
AJUBA,AJUBA,0.4177214148321787,0.0029296875
AK1,AK1,-0.18287897235482148,0.123046875
AK2,AK2,0.2095629589630783,0.0029296875
AK3,AK3,-0.010549527728150244,0.9658203125
AK4,AK4,0.3296986362416186,0.0673828125
AK5,AK5,0.8215640435082974,0.0009765625
AK6,AK6,0.16456875464872725,0.0830078125
AK7,AK7,-1.5399288989439384,0.0009765625
AK8,AK8,-0.5496208316187063,0.123046875
AK9,AK9,-0.3265995210381059,0.0048828125
